ID,Name,Location
603,UsAzSaltriver603,"Scottsdale  Az  US"
606,UsCaLa606,"Pasadena  Ca  US"
613,UsTxHouston613,"Sugar Land  Tx  US"
614,UsTxUtsa614,"San Antonio  Tx  US"
615,UsIdBoise615,"Boise  Id  US"
616,UsMoKansascity616,"Kansas City  Mo  US"
619,UsMnMisostpaul619,"St. Paul  Mn  US"
622,UsMeBangor622,"Bangor  Me  US"
624,UsMoMst624,"Rolla  Mo  US"
639,UsVaVtech639,"Blacksburg  Va  US"
649,UsWiMadsion649,"Madsion  Wi  US"
650,UsKyLouisville650,"Louisville  Ky  US"
656,UsVaBlacksburg656,"Blacksburg  Va  US"
